Label,Label (cy),Prefix,Name,Abstract,Type,Period Type,Balance,Deprecated Label,Deprecated Label (cy),Deprecated Date,Companies Act,Audit Regulations,FRS 102
OECD Pillar Two legislation applied early for reporting entity [true/false],Mae deddfwriaeth Colofn Dau OECD wedi'i gosod yn gynnar ar gyfer yr endid adrodd [gwir/anwir],bus,OECDPillarTwoLegislationAppliedEarlyForReportingEntityTruefalse,false,booleanItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 1.35
Statement of reporting entity exposure to OECD Pillar Two income tax,Datganiad o amlygiad yr endid adrodd i dreth incwm Colofn Dau OECD,bus,StatementReportingEntityExposureToOECDPillarTwoIncomeTax,false,stringItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 29.29
"Entity officers, including directors and partners [heading]","Swyddogion yr endid, yn cynnwys cyfarwyddwyr a phartneriaid [pennawd]",bus,EntityOfficersIncludingDirectorsPartnersHeading,true,types:headingItemType,duration,,,,,,,
Name of entity officer,Enw Swyddog yr endid,bus,NameEntityOfficer,false,stringItemType,duration,,,,,,,
Use entity officers dimension to identify position of entity officer [guidance],Defnyddiwch ddimensiwn swyddogion endid i enwi swydd swyddog yr endid [canllawiau],bus,UseEntityOfficersDimensionToIdentifyPositionEntityOfficerGuidance,true,types:guidanceItemType,duration,,,,,,,
Use entity officer status dimension to identify executive or non-executive status [guidance],Defnyddiwch dimensiwn statws swyddog yr endid i enwi statws gweithredol neu anweithredol [canllawiau],bus,UseEntityOfficerStatusDimensionToIdentifyExecutiveOrNon-executiveStatusGuidance,true,types:guidanceItemType,duration,,,,,,,
Entity contacts and website information [heading],Cysylltiadau yr endid a gwybodaeth am y wefan [pennawd],bus,EntityContactsWebsiteInformationHeading,true,types:headingItemType,duration,,,,,,,
Use entity contact type dimension to identify type or purpose of contact [guidance],Defnyddiwch ddimensiwn math o gyswllt er mwyn enwi math o neu bwrpas y cyswllt [canllawiau],bus,UseEntityContactTypeDimensionToIdentifyTypeOrPurposeContactGuidance,true,types:guidanceItemType,duration,,,,,,,
Contact department or person [heading],Adran neu unigolyn cyswllt [pennawd],bus,ContactDepartmentOrPersonHeading,true,types:headingItemType,duration,,,,,,,
Name of contact department or person,Enw'r adran neu'r unigolyn cyswllt,bus,NameContactDepartmentOrPerson,false,stringItemType,duration,,,,,,,
Job title / position of contact person,Teitl Swydd / swydd y person cyswllt,bus,JobTitlePositionContactPerson,false,stringItemType,duration,,,,,,,
Description or other information on entity contact,Disgrifiad neu wybodaeth arall am gyswllt endid,bus,DescriptionOrOtherInformationOnEntityContact,false,stringItemType,duration,,,,,,,
Means of contact [heading],Dull cysylltu [pennawd],bus,MeansContactHeading,true,types:headingItemType,duration,,,,,,,
Address [heading],Cyfeiriad [pennawd],bus,AddressHeading,true,types:headingItemType,duration,,,,,,,
Address line 1,Llinell 1 y cyfeiriad,bus,AddressLine1,false,stringItemType,duration,,,,,,,
Address line 2,Llinell 2 y cyfeiriad,bus,AddressLine2,false,stringItemType,duration,,,,,,,
Address line 3,Llinell 3 y cyfeiriad,bus,AddressLine3,false,stringItemType,duration,,,,,,,
Principal location - city or town,Prif leoliad - dinas neu dref,bus,PrincipalLocation-CityOrTown,false,stringItemType,duration,,,,,,,
County / Region,Gwlad / Rhanbarth,bus,CountyRegion,false,stringItemType,duration,,,,,,,
Postal Code / Zip,Cod post / Sip,bus,PostalCodeZip,false,stringItemType,duration,,,,,,,
Use countries dimension tag attached to all lines of address to identify country [guidance],Defnyddiwch tag dimensiwn gwledydd wedi ei atodi i bob llinell cyfeiriad er mwyn enwi gwlad [canllawiau],bus,UseCountriesDimensionTagAttachedToAllLinesAddressToIdentifyCountryGuidance,true,types:guidanceItemType,duration,,,,,,,
E-mail address,Cyfeiriad e-bost,bus,E-mailAddress,false,stringItemType,duration,,,,,,,
Phone number [heading],Rhif ffôn [pennawd],bus,PhoneNumberHeading,true,types:headingItemType,duration,,,,,,,
Country code,Cod gwlad,bus,CountryCode,false,stringItemType,duration,,,,,,,
Area code,Cod ardal,bus,AreaCode,false,stringItemType,duration,,,,,,,
Local number,Rhif lleol,bus,LocalNumber,false,stringItemType,duration,,,,,,,
Extension number,Rhif yr estyniad,bus,ExtensionNumber,false,stringItemType,duration,,,,,,,
VOIP contact,Contract VOIP,bus,VOIPContact,false,stringItemType,duration,,,,,,,
"Use address type dimension to distinguish main, postal and street address [guidance]",Defnyddiwch dimensiwn math o gyfeiriad i wahaniaethu rhwng prif cygeiriad a chyfeiriad post a stryd [canllawiau],bus,UseAddressTypeDimensionToDistinguishMainPostalStreetAddressGuidance,true,types:guidanceItemType,duration,,,,,,,
"Use phone number type dimension to distinguish landline, mobile and fax [guidance]",Defnyddiwch dimensiwn math o rif ffôn i wahaniaethu rhwng llinell dir/ symudol a ffacs [canllawiau],bus,UsePhoneNumberTypeDimensionToDistinguishLandlineMobileFaxGuidance,true,types:guidanceItemType,duration,,,,,,,
Use form of contact dimension to distinguish form of contact such as switchboard or direct [guidance],Defnyddiwch dimensiwn dull cysylltu i wahaniaethu rhwng dull cysylltu megis switsfwrdd neu uniongyrchol [canllawiau],bus,UseFormContactDimensionToDistinguishFormContactSuchAsSwitchboardOrDirectGuidance,true,types:guidanceItemType,duration,,,,,,,
Website information [heading],Gwybodaeth am y wefan [pennawd],bus,WebsiteInformationHeading,true,types:headingItemType,duration,,,,,,,
Website main page URL,URL prif dudalen y wefan,bus,WebsiteMainPageURL,false,anyURIItemType,duration,,,,,,,
Description or other information on website,Disgrifiad o wybodaeth arall ar wefan,bus,DescriptionOrOtherInformationOnWebsite,false,stringItemType,duration,,,,,,,
Use countries and languages dimensions to identify location and language of website [guidance],Defnyddiwch dimensiwn gwledydd ac ieithoedd i enwi lleoliad ac iaith gwefan [canllawiau],bus,UseCountriesLanguagesDimensionsToIdentifyLocationLanguageWebsiteGuidance,true,types:guidanceItemType,duration,,,,,,,
Third party agents [heading],Asiantau trydydd parti [pennawd],bus,ThirdPartyAgentsHeading,true,types:headingItemType,duration,,,,,,,
Use third party agent status dimension to identify agents if multiple agents exist under any individual category [guidance],Defnyddiwch dimensiwn statws asiant trydydd parti i enwi asiantau os bydd asiantau lluosog yn bodoli o dan unrhyw gategori unigol [canllawiau],bus,UseThirdPartyAgentStatusDimensionToIdentifyAgentsIfMultipleAgentsExistUnderAnyIndividualCategoryGuidance,true,types:guidanceItemType,duration,,,,,,,
Name of entity accountants,Enw cyfrifyddion yr endid,bus,NameEntityAccountants,false,stringItemType,duration,,,,,,,
Name of entity auditors,Enw archwilwyr yr endid,bus,NameEntityAuditors,false,stringItemType,duration,,,,,,Name: ISA (UK and Ireland); Number: 700; Paragraph: 26,
Name of entity examiners,Enw archwilwyr yr endid,bus,NameEntityExaminers,false,stringItemType,duration,,,,,,,
Name of entity tax advisers,Enw cynghorwyr Treth yr endid,bus,NameEntityTaxAdvisers,false,stringItemType,duration,,,,,,,
Name of entity bankers,Enw Banciwr yr endid,bus,NameEntityBankers,false,stringItemType,duration,,,,,,,
Name of entity lawyers or legal advisers,Enw cyfreithwyr neu gynghorwyr cyfreithiol yr endid,bus,NameEntityLawyersOrLegalAdvisers,false,stringItemType,duration,,,,,,,
Name of entity stockbrokers,Enw stocbroceriaid yr endid,bus,NameEntityStockbrokers,false,stringItemType,duration,,,,,,,
Name of entity financial advisers,Enw cynghorwyr ariannol yr endid,bus,NameEntityFinancialAdvisers,false,stringItemType,duration,,,,,,,
Name of entity registrars,Enw cofrestrydd yr endid,bus,NameEntityRegistrars,false,stringItemType,duration,,,,,,,
Name of entity administrators,Enw gweinyddwyr yr endid,bus,NameEntityAdministrators,false,stringItemType,duration,,,,,,,
Name of entity receivers,Enw derbynwyr yr endid,bus,NameEntityReceivers,false,stringItemType,duration,,,,,,,
Name of entity liquidators,Enw Datodwr yr endid,bus,NameEntityLiquidators,false,stringItemType,duration,,,,,,,
Use group and company data dimension to distinguish group and company data - company is the default setting on all data [guidance],Defnyddiwch dimensiwn data grŵp a chwmni i wahaniaethu rhwng data grŵp a chwmni - cwmni yw'r gosodiad diofyn ar gyfer yr holl ddata [canllawiau],bus,UseGroupCompanyDataDimensionToDistinguishGroupCompanyData-CompanyDefaultSettingOnAllDataGuidance,true,types:guidanceItemType,duration,,,,,,,
003 - Report Information,,,,,,,,,,,,,
Report information [heading],Gwybodaeth yr adroddiad [pennawd],bus,ReportInformationHeading,true,types:headingItemType,duration,,,,,,,
Report title,Teitl yr Adroddiad,bus,ReportTitle,false,stringItemType,duration,,,,,,,
Scope of accounts,Cwmpas y cyfrifon,bus,ScopeAccounts,false,types:fixedItemType,duration,,,,,,,
Accounting standards applied,Safonau cyfrifydd a gymhwyswyd,bus,AccountingStandardsApplied,false,types:fixedItemType,duration,,,,,,,
Accounting standards applied matches taxonomy entry-point [true/false],Mae'r safonau cyfrifyddu a gymhwyswyd yn cyfateb i'r pwynt mynediad tacsonomeg [gwir/anwir],bus,AccountingStandardsAppliedMatchesTaxonomyEntry-pointTruefalse,false,booleanItemType,duration,,,,,,,
SORPs applied,SORPS a gymhwyswyd,bus,SORPsApplied,false,types:fixedItemType,duration,,,,,,,
Applicable legislation,Deddfwriaeth gymwys,bus,ApplicableLegislation,false,types:fixedItemType,duration,,,,,,,
"Accounts status, audited or unaudited","Statws cyfrifon, wedi eu harchwilio neu heb eu harchwilio",bus,AccountsStatusAuditedOrUnaudited,false,types:fixedItemType,duration,,,,,,,
Accounts type,Math o gyfrifon,bus,AccountsType,false,types:fixedItemType,duration,,,,,,,
Report dates and periods covered [heading],Dyddiadau a chyfnodau y mae'r adroddiad yn eu cynnwys [pennawd],bus,ReportDatesPeriodsCoveredHeading,true,types:headingItemType,duration,,,,,,,
Balance sheet date,Dyddiad mantolen,bus,BalanceSheetDate,false,dateItemType,instant,,,,,,,
Start date for period covered by report,Dyddiad cychwyn y cyfnod y mae'r adroddiad yn ei gynnwys,bus,StartDateForPeriodCoveredByReport,false,dateItemType,instant,,,,,,,
End date for period covered by report,Dyddiad terfyn cyfnod yr adroddiad,bus,EndDateForPeriodCoveredByReport,false,dateItemType,instant,,,,,,,
Start date for prior period,Dyddiad dechrau ar gyfer y cyfnod blaenorol,bus,StartDateForPriorPeriod,false,dateItemType,instant,,,,,,,
End date for prior period,Dyddiad gorffen ar gyfer y cyfnod blaenorol,bus,EndDateForPriorPeriod,false,dateItemType,instant,,,,,,,
Business report publication date,Dyddiad cyhoeddi adroddiad busnes,bus,BusinessReportPublicationDate,false,dateItemType,instant,,,,,,,
Report period,Cyfnod yr adroddiad,bus,ReportPeriod,false,types:fixedItemType,duration,,,,,,,
The following items imply that the inclusion is tagged as well as being present in the report [guidance],Mae'r eitemau canlynol yn awgrymu bod y cynnwys wedi'i dagio yn ogystal â bod yn bresennol yn yr adroddiad [canllawiau],bus,FollowingItemsImplyThatInclusionTaggedAsWellAsBeingPresentInReportGuidance,true,types:guidanceItemType,duration,,,,,,,
Report includes a Strategic Report [true/false],Mae'r adroddiad yn cynnwys Adroddiad Strategol [gwir/anwir],bus,ReportIncludesStrategicReportTruefalse,false,booleanItemType,duration,,,,,,,
Report includes a list of subsidiaries [true/false],Mae'r adroddiad yn cynnwys rhestr o is-gwmnïau [gwir/anwir],bus,ReportIncludesListSubsidiariesTruefalse,false,booleanItemType,duration,,,,,,,
Report includes a Detailed Profit and Loss statement [true/false],Adroddiad yn cynnwys datganiad Elw a Cholled Manwl [gwir/anwir],bus,ReportIncludesDetailedProfitLossStatementTruefalse,false,booleanItemType,duration,,,,,,,
Report is an amended / revised version of a previously filed report [true/false],Mae'r adroddiad yn fersiwn addasedig / ddiwygiedig o adroddiad a ffeiliwyd yn flaenorol [gwir/anwir],bus,ReportAnAmendedRevisedVersionPreviouslyFiledReportTruefalse,false,booleanItemType,duration,,,,,"Name: CA; Section: 454, 455; Year: 2006",,
Revised accounts statements [heading],Datganiadau cyfrifon adolygedig [pennawd],bus,RevisedAccountsStatementsHeading,true,types:headingItemType,duration,,,,,Name: SI; Paragraph: 4; Part: 2; Year: 2008,,
Revision by replacement method [heading],Adolygu drwy ddull amnewid [pennawd],bus,RevisionByReplacementMethodHeading,true,types:headingItemType,duration,,,,,Name: SI; Paragraph: 4 (2) (a); Part: 2; Year: 2008,,
Use OriginalRevisedData dimension to identify revised accounts data [guidance],Defnyddiwch dimensiwn Data Adolygedig Gwreiddiol i enwi data cyfrifon adolygedig [canllawiau],bus,UseOriginalRevisedDataDimensionToIdentifyRevisedAccountsDataGuidance,true,types:guidanceItemType,duration,,,,,,,
"Use the currently stated dimension member for both current year and any prior year disclosures, except where there has been a need to revise and resubmit the report [guidance]","Ar gyfer datgeliadau'r flwyddyn bresennol, ac ar gyfer unrhyw flynyddoedd blaenorol, defnyddiwch yr aelod dimensiwn sydd wedi'i nodi ar hyn o bryd, ac eithrio lle bu angen diwygio ac ailgyflwyno'r adroddiad [canllawiau]",bus,UseCurrentlyStatedDimensionMemberForBothCurrentYearAnyPriorYearDisclosuresExceptWhereThereHasBeenNeedToReviseResubmitReportGuidance,true,types:guidanceItemType,duration,,,,,,,
"Only use the superseded dimension member for superseded facts, when there has been a need to revise and resubmit the report [guidance]",Dim ond pan fu angen diwygio ac ailgyflwyno'r adroddiad y dylech chi ddefnyddio'r aelod dimensiwn a ddisodlwyd ar gyfer ffeithiau amherthnasol [canllawiau],bus,OnlyUseSupersededDimensionMemberForSupersededFactsWhenThereHasBeenNeedToReviseResubmitReportGuidance,true,types:guidanceItemType,duration,,,,,,,
Statement that revised report replaces a previously filed report for the period,Datganiad bod adroddiad adolygedig yn amnewid adroddiad a ffeili yn flaenorol ar gyfer y cyfnod,bus,StatementThatRevisedReportReplacesPreviouslyFiledReportForPeriod,false,stringItemType,duration,,,,,Name: SI; Paragraph: 4 (2) (a); Part: 2; Year: 2008,,
Statement that this report is now the statutory accounts for the period,Datganiad mai'r adroddiad nawr yw'r cyfrifon statudol ar gyfer y cyfnod,bus,StatementThatThisReportNowStatutoryAccountsForPeriod,false,stringItemType,duration,,,,,Name: SI; Paragraph: 4 (2) (a); Part: 2; Year: 2008,,
Statement that this report has been prepared as at the date of a previously filed report,Datganiad bod yr adroddiad hwn wedi cael ei baratoi ar ddyddiad adroddiad a ffeiliwyd yn flaenorol,bus,StatementThatThisReportHasBeenPreparedAsDatePreviouslyFiledReport,false,stringItemType,duration,,,,,Name: SI; Paragraph: 4 (2) (a); Part: 2; Year: 2008,,
Statement of respects in which the previously filed report did not comply with the Companies Act 2006,Datganiad o'r agweddau yn yr adroddiad a ffeiliwyd yn wreiddiol nad oedd yn cydymffurfio â Deddf Cwmnïau 2006,bus,StatementRespectsInWhichPreviouslyFiledReportDidNotComplyWithCompaniesAct2006,false,stringItemType,duration,,,,,Name: SI; Paragraph: 4 (2) (a); Part: 2; Year: 2008,,
Statement of significant amendments to previously filed report,Datganiad o addasiadau arwyddocaol i adroddiad a ffeiliwyd yn flaenorol,bus,StatementSignificantAmendmentsToPreviouslyFiledReport,false,stringItemType,duration,,,,,Name: SI; Paragraph: 4 (2) (a); Part: 2; Year: 2008,,
Date of approval of revision of report,Dyddiad cymeradwyo adolygiad o adroddiad,bus,DateApprovalRevisionReport,false,dateItemType,duration,,,,,Name: SI; Paragraph: 4 (2); Part: 2; Year: 2008,,
Revision by supplementary note method [heading],Adolygu drwy ddull nodyn atodol [pennawd],bus,RevisionBySupplementaryNoteMethodHeading,true,types:headingItemType,duration,,,,,Name: SI; Paragraph: 4 (2) (b); Part: 2; Year: 2008,,
Revision by supplementary note requires the original annual accounts and reports to be filed together with the supplementary note [guidance],Mae adolygiad drwy nodyn atodol yn golygu bod angen ffeilio'r cyfrifon blynyddol gwreiddiol a'r adroddiadau gyda'i gilydd gyda'r nodyn atodol [canllawiau],bus,RevisionBySupplementaryNoteRequiresOriginalAnnualAccountsReportsToBeFiledTogetherWithSupplementaryNoteGuidance,true,types:guidanceItemType,duration,,,,,,,
Use supplementary note item to describe revisions to original accounts and DO NOT use OriginalRevisedData dimension to identify revised accounts data [guidance],Defnyddiwch eitem atodol i ddisgrifio adolygiadau i'r cyfrifon gwreiddiol a PHEIDIWCH â defnyddio dimensiwn Data Adolygedig Gwreiddiol i enwi data cyfrifon adolygedig [canllawiau],bus,UseSupplementaryNoteItemToDescribeRevisionsToOriginalAccountsDONOTUseOriginalRevisedDataDimensionToIdentifyRevisedAccountsDataGuidance,true,types:guidanceItemType,duration,,,,,,,
Supplementary note,Nodyn atodol,bus,SupplementaryNote,false,stringItemType,duration,,,,,Name: SI; Paragraph: 4 (2) (b); Part: 2; Year: 2008,,
Use the following item to identify interim financial statements as required by Section 838 of the Companies Act 2006 [guidance],Defnyddiwch yr eitem ganlynol i ganfod datganiadau ariannol dros dro fel sy'n ofynnol dan Adran 838 Deddf Cwmnïau 2006 [canllaw],bus,UseFollowingItemToIdentifyInterimFinancialStatementsAsRequiredBySection838CompaniesAct2006Guidance,true,types:guidanceItemType,duration,,,,,,,
Report is an interim financial statement from a publicly listed entity [true/false],Mae'r adroddiad yn ddatganiad ariannol dros dro gan endid a restrwyd yn gyhoeddus [gwir/anwir],bus,ReportAnInterimFinancialStatementFromPubliclyListedEntityTruefalse,false,booleanItemType,duration,,,,,,,
Use the following item to identify initial financial statements as required by Section 839 of the Companies Act 2006 [guidance],Defnyddiwch yr eitem ganlynol i ganfod datganiadau ariannol cychwynnol fel sy'n ofynnol dan Adran 839 Deddf Cwmnïau 2006 [canllaw],bus,UseFollowingItemToIdentifyInitialFinancialStatementsAsRequiredBySection839CompaniesAct2006Guidance,true,types:guidanceItemType,duration,,,,,,,
Report is an initial financial statement from a publicly listed entity [true/false],Mae'r adroddiad yn ddatganiad ariannol cychwynnol gan endid a restrwyd yn gyhoeddus [gwir/anwir],bus,ReportAnInitialFinancialStatementFromPubliclyListedEntityTruefalse,false,booleanItemType,duration,,,,,,,
Principal currency used in business report,Prif arian cyfred a ddefnyddir yn yr adroddiad busnes,bus,PrincipalCurrencyUsedInBusinessReport,false,types:fixedItemType,duration,,,,,,,
Other currency used in business report,Arian cyfred arall a ddefnyddir yn yr adroddiad busnes,bus,OtherCurrencyUsedInBusinessReport,false,types:fixedItemType,duration,,,,,,,
Report copyright statement,Datganiad hawlfraint yr adroddiad,bus,ReportCopyrightStatement,false,stringItemType,duration,,,,,,,
Report principal language,Prif iaith yr adroddiad,bus,ReportPrincipalLanguage,false,types:fixedItemType,duration,,,,,,,
XBRL production software [heading],Meddalwedd cynhyrchu XBRL [pennawd],bus,XBRLProductionSoftwareHeading,true,types:headingItemType,duration,,,,,,,
Name of production software,Enw meddalwedd cynhyrchu,bus,NameProductionSoftware,false,stringItemType,duration,,,,,,,
Version of production software,Fersiwn meddalwedd cynhyrchu,bus,VersionProductionSoftware,false,stringItemType,duration,,,,,,,
010 - Directors'/Strategic Report,,,,,,,,,,,,,
Directors'/Strategic Report [heading],Cyfarwyddwyr/Adroddiad Strategol [pennawd],direp,DirectorsStrategicReportHeading,true,types:headingItemType,duration,,,,,,,
"For full information on entity, see 'Entity Information' section [cross-reference]","Ar gyfer gwybodaeth lawn am yr endid, gweler yr adran 'Gwybodaeth am yr Endid' [croesgyfeirio]",direp,ForFullInformationOnEntitySeeEntityInformationSectionCross-reference,true,types:xrefItemType,duration,,,,,,,
Description of principal activities,Disgrifiad o'r prif weithgareddau,bus,DescriptionPrincipalActivities,false,stringItemType,duration,,,,,,,
List of directors [heading],Rhestr o gyfarwyddwyr [pennawd],direp,ListDirectorsHeading,true,types:headingItemType,duration,,,,,,,
Use entity officers dimension to identify position of entity officer [guidance],Defnyddiwch ddimensiwn swyddogion endid i enwi swydd swyddog yr endid [canllawiau],bus,UseEntityOfficersDimensionToIdentifyPositionEntityOfficerGuidance,true,types:guidanceItemType,duration,,,,,,,
Use entity officer status dimension to identify executive or non-executive status [guidance],Defnyddiwch dimensiwn statws swyddog yr endid i enwi statws gweithredol neu anweithredol [canllawiau],bus,UseEntityOfficerStatusDimensionToIdentifyExecutiveOrNon-executiveStatusGuidance,true,types:guidanceItemType,duration,,,,,,,
